"Interval start","All Packets"
0,2.4175e+06
1,2.41726e+06
2,2.37927e+06
3,2.3905e+06
4,2.33894e+06
5,2.38019e+06
6,2.33359e+06
7,2.36595e+06
8,2.39049e+06
9,2.37761e+06
10,2.43013e+06
11,2.39039e+06
12,2.39827e+06
13,2.40192e+06
14,2.37126e+06
15,2.39214e+06
16,2.3779e+06
17,2.39565e+06
18,2.38688e+06
19,2.39751e+06
20,2.43921e+06
21,2.37596e+06
22,2.38976e+06
23,2.36905e+06
24,2.38906e+06
25,2.35478e+06
26,2.36854e+06
27,2.37581e+06
28,2.36825e+06
29,2.35752e+06
30,2.40562e+06
31,2.38079e+06
32,2.39615e+06
33,2.38294e+06
34,2.37617e+06
35,2.38589e+06
36,2.38714e+06
37,2.39574e+06
38,2.38194e+06
39,2.35102e+06
40,2.37091e+06
41,2.38466e+06
42,2.4006e+06
43,2.39946e+06
44,2.37237e+06
45,2.38027e+06
46,2.38207e+06
47,2.43656e+06
48,2.42166e+06
49,2.38096e+06
50,2.40541e+06
51,2.39359e+06
52,2.38836e+06
53,2.37865e+06
54,2.38942e+06
55,2.41008e+06
56,2.38063e+06
57,2.41241e+06
58,2.39392e+06
59,2.38863e+06
60,2.41026e+06
61,2.37563e+06
62,2.42642e+06
63,2.4002e+06
64,2.38878e+06
65,2.39679e+06
66,2.3943e+06
67,2.38269e+06
68,2.3915e+06
69,2.3757e+06
70,2.40086e+06
71,2.42647e+06
72,2.42201e+06
73,2.37214e+06
74,2.39382e+06
75,2.39921e+06
76,2.4019e+06
77,2.32962e+06
78,2.30814e+06
79,2.48138e+06
80,2.41038e+06
81,2.36572e+06
82,2.39468e+06
83,2.36147e+06
84,2.36544e+06
85,2.42937e+06
86,2.40845e+06
87,2.42976e+06
88,2.42818e+06
89,2.41173e+06
90,2.4596e+06
91,2.43046e+06
92,2.45116e+06
93,2.38283e+06
94,2.3757e+06
95,2.41308e+06
96,2.42321e+06
97,2.38066e+06
98,2.38387e+06
99,2.39662e+06
100,2.42702e+06
101,2.43712e+06
102,2.39205e+06
103,2.404e+06
104,2.36896e+06
105,2.43116e+06
106,2.3995e+06
107,2.41981e+06
108,2.41936e+06
109,1.31615e+06
